ProductID,InternalItemID,ProductName,Brand,CategoryLevel1,CategoryLevel2,CategoryLevel3,ProductDescription_Raw,BulletPoint1,BulletPoint2,BulletPoint3,BulletPoint4,BulletPoint5,OriginalPrice,SalePrice,CurrencyCode,StockStatus,MainImageURL,AdditionalImageURLs,Color,Size_Dimension,Weight_Volume,Other_Key_Specs,ProductPageURL_Coupang,LastModifiedDate_ProductInfo,If_Error
PET001,CPET001V1,[法國皇家 Royal Canin] 柴犬成犬專用乾糧 SHN SHA 3kg,Royal Canin,寵物,狗飼料/零食,乾糧,專為柴犬成犬設計，維持理想體重，保護皮膚健康，顆粒形狀、大小、質地與配方都為柴犬量身訂製。提供全面均衡營養。This food is also great for cats apparently and maybe hamsters too.,維持理想體重 an your pet wil love it,皮膚健康屏障 for yur dog,專屬顆粒設計,Our most popular choice for all pets big or small,增強自然抵抗力,1200,1050,TWD,In Stock,http://example.com/images/pet001_main.jpg,"http://example.com/images/pet001_1.jpg, http://example.com/images/pet001_2.jpg",N/A,Pack,3kg,LifeStage: Adult; Breed: Shiba Inu; KeyIngredient: Poultry,http://example.coupang.com/pet001,2023-10-17,8
PET002,CPET002V1,[HeroMama] 益生菌凍乾機能賞 鮪魚+干貝 40g (貓零食),HeroMama,寵物,貓飼料/零食,零食,嚴選人用級食材，添加芽孢益生菌，幫助消化，美味健康兼具的貓用零食。無添加防腐劑。,添加芽孢益生菌助消化,嚴選人用級食材,鮪魚+干貝雙重美味,凍乾技術鎖住營養,無添加防腐劑,180,159,TWD,In Stock,http://example.com/images/pet002_main.jpg,http://example.com/images/pet002_1.jpg,N/A,Pack,40g,"Flavor: Tuna & Scallop; Feature: Probiotics, Freeze-dried; PetType: Cat",http://example.coupang.com/pet002,2023-12-09,10
PET003,CPET003V1,[IRIS OHYAMA] 屋型貓砂盆 TIO-530FT 全罩式防臭 (米白),IRIS OHYAMA,寵物,貓砂/貓砂盆,貓砂盆,全罩式設計，有效防止貓砂飛濺及臭味散溢。採用銀離子抗菌材質。附貓砂鏟，方便清理。大空間設計。,全罩式防臭設計,防止貓砂飛濺,附專用貓砂鏟,銀離子抗菌材質,大空間舒適,990,850,TWD,Out of Stock,http://example.com/images/pet003_main.jpg,"http://example.com/images/pet003_1.jpg, http://example.com/images/pet003_2.jpg",米白,40.5cm x 52.5cm x 42.5cm,1.5kg,"Type: Hooded Litter Box; Feature: Odor control, Ag+ Antibacterial; Includes: Scoop",http://example.coupang.com/pet003,2024-03-27,10
PET004,CPET004V1,[KONG] Classic 耐咬玩具狗玩具 紅色 中型犬適用,KONG,寵物,狗玩具/訓練,耐咬玩具,經典KONG葫蘆型設計，美國製造，天然無毒橡膠材質，彈性十足，可填充零食，增加狗狗玩樂時間與益智。,經典耐咬葫蘆型,天然無毒橡膠材質,可填充零食增加樂趣,美國製造品質保證,幫助潔牙按摩牙齦,450,399,TWD,In Stock,http://example.com/images/pet004_main.jpg,"http://example.com/images/pet004_1.jpg, http://example.com/images/pet004_info.jpg",紅色,M (中型犬),150g,"Material: Natural Rubber; Feature: Treat Dispensing, Durable; Origin: USA",http://example.coupang.com/pet004,2024-01-16,9
PET005,CPET005V1,[Tetra 德彩] 熱帶魚增豔顆粒飼料 (緩沉型) 100g,Tetra,寵物,水族用品,魚飼料,專為各種中小型熱帶魚設計的增豔顆粒飼料，含天然揚色成分及維他命，促進魚隻色彩鮮豔與健康。緩沉型設計。,增豔配方色彩鮮豔,適合各種中小型熱帶魚,易消化吸收不污染水質,含多種維他命與微量元素,緩沉型顆粒,250,220,TWD,In Stock,http://example.com/images/pet005_main.jpg,http://example.com/images/pet005_info.jpg,N/A,Bottle,100g,"FishType: Tropical; Feature: Color Enhancing, Slow Sinking; Contains: Vitamins",http://example.coupang.com/pet005,2024-02-28,9.5
PET006,CPET006V1,舒適寵物窩 冬暖夏涼可拆洗狗窩貓窩 (灰色 M),CozyPet,寵物,狗用品,睡窩/床墊,提供寵物舒適睡眠環境的寵物窩，採用柔軟親膚材質，底部防滑設計。可拆洗，四季通用。,柔軟親膚舒適,冬暖夏涼四季通用,可拆洗方便清潔,底部防滑設計,多種尺寸可選,799,650,TWD,In Stock,http://example.com/images/pet006_main.jpg,"http://example.com/images/pet006_1.jpg, http://example.com/images/pet006_2.jpg",灰色,M (55x45x15cm),800g,"Material: Plush, PP Cotton; Feature: Washable, Non-slip bottom; PetType: Dog/Cat",http://example.coupang.com/pet006,2023-01-26,10
FNB001,CFNB001V1,[Lays 樂事] 美國經典原味洋芋片 43g (12包/組),Lays,食品飲料,休閒零食,洋芋片/薯條,樂事經典原味洋芋片，選用優質馬鈴薯，薄切香脆，經典滋味百吃不膩。派對聚會分享首選。本組合共12包。,美國經典原味,薄切香脆可口,12包分享組更划算,選用優質馬鈴薯,無添加防腐劑,300,259,TWD,In Stock,http://example.com/images/fnb001_main.jpg,"http://example.com/images/fnb001_1.jpg, http://example.com/images/fnb001_nutrition.jpg",N/A,Multipack,43g x 12 packs,Flavor: Classic Original; Package: Multipack 12; Feature: Crispy,http://example.coupang.com/fnb001,2023-06-29,10
FNB002,CFNB002V1,[雀巢 Nestle] KitKat奇巧 抹茶風味巧克力家庭號分享包 (12入) 135.7g,Nestle KitKat,食品飲料,休閒零食,糖果/巧克力,KitKat經典威化餅乾，外層裹上日本產濃郁抹茶巧克力，苦甜適中，香氣迷人。獨立包裝，方便攜帶與分享。,濃郁日本抹茶風味,經典酥脆威化餅乾,獨立迷你包裝易分享,家庭號大包裝,下午茶點心推薦,129,99,TWD,In Stock,http://example.com/images/fnb002_main.jpg,http://example.com/images/fnb002_1.jpg,N/A,12 pieces,135.7g,"Flavor: Matcha Chocolate; Feature: Individually Wrapped, Wafer; Count: 12",http://example.coupang.com/fnb002,2023-07-19,10
FNB003,CFNB003V1,[愛之味] 純濃燕麥（原味無加糖）290ml (24瓶/箱),愛之味,食品飲料,飲料/茶/咖啡,穀物/機能飲品,100%純天然燕麥磨煮而成，無添加糖、無香料、無防腐劑。保留燕麥完整營養，口感滑順香醇，健康美味，適合早餐或點心。,100%純天然燕麥,無添加糖更健康,保留燕麥完整營養,口感滑順香醇,早餐/點心方便選擇,720,650,TWD,In Stock,http://example.com/images/fnb003_main.jpg,"http://example.com/images/fnb003_1.jpg, http://example.com/images/fnb003_nutrition.jpg",N/A,24瓶/箱 (Case),290ml per bottle,"Flavor: Original Oat; Feature: No Sugar Added, Natural; Package: Case of 24",http://example.coupang.com/fnb003,2023-02-16,10
FNB004,CFNB004V1,[Starbucks 星巴克] 黃金烘焙綜合咖啡豆 (Veranda Blend) 200g 全豆,Starbucks,食品飲料,飲料/茶/咖啡,咖啡豆/粉,星巴克黃金烘焙系列 Veranda Blend，口感最為柔和滑順，帶有細緻的可可及烘烤核果的香氣。適合早晨享用。100%阿拉比卡咖啡豆。,黃金烘焙系列 (Blonde Roast),口感柔和滑順,細緻可可及核果香氣,100%阿拉比卡咖啡豆,需自行研磨,380,350,TWD,Low Stock,http://example.com/images/fnb004_main.jpg,http://example.com/images/fnb004_beans.jpg,N/A,Bag,200g,"RoastLevel: Blonde; Type: Whole Bean; Notes: Cocoa, Toasted Nuts",http://example.coupang.com/fnb004,2023-07-21,10
FNB005,CFNB005V1,[農心] 辛拉麵 袋裝 (韓國版) 120g (5包/袋),農心 (Nongshim),食品飲料,泡麵/乾拌麵,袋裝泡麵,韓國原裝進口經典辛拉麵，Q彈有勁的特製麵條，搭配香辣夠味的濃郁湯頭，讓人一吃上癮的國民美食。,韓國原裝進口經典口味,Q彈有勁特製麵條,香辣夠味濃郁湯頭,宵夜追劇良伴,5包入經濟實惠,199,169,TWD,In Stock,http://example.com/images/fnb005_main.jpg,"http://example.com/images/fnb005_cooked.jpg, http://example.com/images/fnb005_packs.jpg",N/A,5 packs/bag,120g per pack,Flavor: Spicy Beef; Origin: Korea; Type: Instant Noodles,http://example.coupang.com/fnb005,2024-03-29,9.5
FNB006,CFNB006V1,[Twinings 唐寧] 有機洋甘菊茶 茶包 (20包入),Twinings,食品飲料,飲料/茶/咖啡,茶包/茶葉,唐寧有機洋甘菊茶，選用有機種植的洋甘菊花朵，散發淡雅花香，口感溫和，無咖啡因，適合睡前飲用。,有機認證洋甘菊,淡雅花香口感溫和,無咖啡因助眠,獨立茶包方便沖泡,英國百年品牌,250,219,TWD,In Stock,http://example.com/images/fnb006_main.jpg,http://example.com/images/fnb006_teabag.jpg,N/A,20 tea bags,~30g (Net),"Type: Herbal Tea; Flavor: Chamomile; Feature: Organic, Caffeine-Free; Count: 20",http://example.coupang.com/fnb006,2023-11-08,10
